,STATEFP,COUNTYFP_x,VTDST,NAME,G16PRERTRU_x,G16PREDCLI_x,G16PRELJOH_x,G16PRECCAS_x,G16USSRTHU_x,G16USSDWIL_x,G16HALRNOE_x,G16HALDHAW_x,G16PUCRNEL_x,G16PUCDRED_x,geometry,County_Name,join_col,County,Precinct,G16PRERTRU_y,G16PREDCLI_y,G16PRELJOH_y,G16PRECCAS_y,G16USSRTHU_y,G16USSDWIL_y,G16HALRNOE_y,G16HALDHAW_y,G16PUCRNEL_y,G16PUCDRED_y,COUNTYFP_y,_merge
922,,,,,,,,,,,,,,,,,041-PRECINCT-12 EAGLE BUTTE NORTH (PRECINCT-13 EAGLE BUTTE NORTH),DEWEY,Precinct-12 Eagle Butte North (Precinct-13 Eagle Butte North),76.0,143.0,7.0,3.0,100.0,126.0,76.0,153.0,74.0,155.0,041,right_only
923,,,,,,,,,,,,,,,,,041-PRECINCT-11 SWIFTBIRD/LAPLANT,DEWEY,Precinct-11 Swiftbird/LaPlant,20.0,64.0,0.0,5.0,27.0,58.0,25.0,62.0,17.0,69.0,041,right_only
924,,,,,,,,,,,,,,,,,041-PRECINCT-09 PROMISE,DEWEY,Precinct-09 Promise,31.0,33.0,5.0,1.0,31.0,36.0,31.0,36.0,26.0,41.0,041,right_only
925,,,,,,,,,,,,,,,,,041-PRECINCT-07 EAGLE BUTTE EAST,DEWEY,Precinct-07 Eagle Butte East,30.0,201.0,10.0,7.0,63.0,182.0,37.0,204.0,20.0,219.0,041,right_only
926,,,,,,,,,,,,,,,,,041-PRECINCT-06 ISABEL,DEWEY,Precinct-06 Isabel,114.0,24.0,3.0,1.0,111.0,30.0,106.0,36.0,114.0,22.0,041,right_only
927,,,,,,,,,,,,,,,,,041-PRECINCT-05 FIRESTEEL,DEWEY,Precinct-05 Firesteel,39.0,17.0,5.0,0.0,43.0,18.0,40.0,21.0,39.0,19.0,041,right_only
928,,,,,,,,,,,,,,,,,041-PRECINCT-04 TIMBER LAKE,DEWEY,Precinct-04 Timber Lake,238.0,68.0,20.0,2.0,254.0,72.0,232.0,92.0,241.0,73.0,041,right_only
929,,,,,,,,,,,,,,,,,041-PRECINCT-02 TRAIL CITY,DEWEY,Precinct-02 Trail City,37.0,3.0,0.0,1.0,38.0,3.0,40.0,1.0,41.0,0.0,041,right_only
930,,,,,,,,,,,,,,,,,041-PRECINCT-08 WHITE HORSE,DEWEY,Precinct-08 White Horse,8.0,52.0,4.0,1.0,15.0,50.0,12.0,52.0,6.0,58.0,041,right_only
931,,,,,,,,,,,,,,,,,043-PRECINCT-5,DOUGLAS,Precinct-5,275.0,29.0,7.0,3.0,287.0,28.0,291.0,29.0,285.0,20.0,043,right_only
932,,,,,,,,,,,,,,,,,043-PRECINCT-4,DOUGLAS,Precinct-4,245.0,69.0,13.0,3.0,270.0,64.0,256.0,79.0,288.0,38.0,043,right_only
933,,,,,,,,,,,,,,,,,043-PRECINCT-2,DOUGLAS,Precinct-2,252.0,51.0,5.0,1.0,255.0,50.0,248.0,58.0,275.0,25.0,043,right_only
934,,,,,,,,,,,,,,,,,043-PRECINCT-1,DOUGLAS,Precinct-1,341.0,27.0,6.0,2.0,345.0,33.0,332.0,43.0,349.0,18.0,043,right_only
935,,,,,,,,,,,,,,,,,043-PRECINCT-3,DOUGLAS,Precinct-3,225.0,38.0,10.0,3.0,220.0,53.0,207.0,68.0,230.0,38.0,043,right_only
936,,,,,,,,,,,,,,,,,045-PRECINCT-6,EDMUNDS,Precinct-6,111.0,39.0,8.0,0.0,118.0,38.0,107.0,51.0,129.0,25.0,045,right_only
